Name,Title,Company,Linkedin
Kevin Hawkins,Global UX Director,Glovo,https://www.linkedin.com/in/kevinhawkinsdesign/
Marijke Jorritsma,Design Manager and Lead User Experience Designer,NASA Jet Propulsion Laboratory,https://www.linkedin.com/in/marijke-jorritsma-06907450/
Amanda Gelb,Research Manager & Area Lead,Asana,https://www.linkedin.com/in/amanda-gelb-b92b0546/
David Hoang,Director of Design,Webflow,https://linkedin.com/in/dhoang2
Tim Simms,Director of Engineering,FullStory,https://www.linkedin.com/in/timjimsimms/
Muriel Naim,Vice President of Design & UX,Fabric,https://www.linkedin.com/in/murielnaim/
June Cho,Senior Developer Advocate,Zeplin,https://www.linkedin.com/in/chojune/
Matt Powell,CTO,FTD,https://www.linkedin.com/in/matthewpowell/
Kent Eisenhuth,Staff UX Designer,Google,https://www.linkedin.com/in/kenteisenhuth/
Avantika Gomes,"Group Product Manager, Production Experience",Figma,https://www.linkedin.com/in/avantikaa/
Chris Reardon,"Head of Product Design, Responsible AI",,https://www.linkedin.com/in/christopherreardon/
Melodie Hoke,"Director, Product Design",frog,https://www.linkedin.com/in/melodie-hoke-b390a522/
Ciera Raines,Senior User Experience Designer,IBM,https://www.linkedin.com/in/ciera-raines-46874061/
Eugenio Santiago,"SVP, UX/CX Strategy & Research",Key Lime Interactive,https://www.linkedin.com/in/eugeniosantiago/
Andrew Leverone,SVP of Product and Engineering,LinkSquares,https://www.linkedin.com/in/andrewleverone/
Jeff Simons,Director of Product Design,Charles River Laboratories,https://www.linkedin.com/in/jeffsimons/
John Crouch,VP of Sales,Entropik,https://www.linkedin.com/in/johnccrouch/
Moshe Mikanovsky,Product Director,Bain Public,https://www.linkedin.com/in/mikanovsky/
Megan Mathews,Lead UX Researcher,DocuSign,https://www.linkedin.com/in/meganmathews/
Mariné Palamutyan,UX Research Manager,DocuSign,https://www.linkedin.com/in/marine-palamutyan/
Kathy Nguyen,Senior Product Manager,FullStory,https://www.linkedin.com/in/kathy-nguyen-41792252/
Karen Hawkins,Head of Accessible User Experience Design,Level Access,https://www.linkedin.com/in/karen-hawkins-cpacc-4a721119/
Joseph Meersman,Senior Director of Design,Intapp,https://www.linkedin.com/in/meersman/
Alex Wilson,Design System Engineering Lead,T. Rowe Price,https://www.linkedin.com/in/alexander-wilson-mba-b2b46752/
Rory Madden,Founder,UXDX,https://www.linkedin.com/in/rorymadden/
Duaa Gettani,Senior UX Researcher,Square,https://www.linkedin.com/in/duaagettani/
Teresa Cain,"Director, Product Management & UX Design",Trevipay,https://www.linkedin.com/in/cainteresa/
John Kille,Head of UX,Trevipay,https://www.linkedin.com/in/johnikille/
Ryan Leffel,Head of Design,Priceline,https://www.linkedin.com/in/rleffel/
Subhasree Chatterjee,Lead Data Analyst,LexisNexis,https://www.linkedin.com/in/chatterjeesubhasree
Holly Hester-Reilly,Founder and Product Management Consultant and Trainer,H2R Product Science,https://www.linkedin.com/in/hollyhesterreilly/
Susan Stavitzski,Senior Product Manager,CarMax,https://www.linkedin.com/in/susan-stavitzski/
Jim Morris,Founder,Product Discovery Group,https://www.linkedin.com/in/jimmorrisstanford/
Christin Bowman,Product Manager,JourneyTrack,No Linkedin
Nishtha Dalal,UX Manager,Shopify,https://www.linkedin.com/in/nishthadalal/
Łukasz Ogrodniczak,Head of UX Research,Acronis,https://www.linkedin.com/in/ogrodniczak/
Erin Howard,"Senior Director, Experience Design",Charles River Laboratories,https://www.linkedin.com/in/erinohoward/
Andrew Schall,"Senior Director, Experience Design Research",Mayo Clinic,https://www.linkedin.com/in/andrewschall/
Rashi Khurana,VP of Engineering,,https://www.linkedin.com/in/khuranarashi/detail/photo/
Peter Wang,CTO,Buzzfeed,https://www.linkedin.com/in/yuchunwang/
Lindsay Norman,VP of Design,Hinge,https://www.linkedin.com/in/lindsay-norman-42873112/
Mamuna Oladipo,VP of Product,Shopify,https://www.linkedin.com/in/mamuna/
Baylie Brenner-Bruzgis,Head of DesignOps,Twitch,https://www.linkedin.com/in/baylie-brenner-bruzgis-0b81a554/
Jessa Parette,"Senior Director of Design Strategy, Research & Systems",Capital One,https://www.linkedin.com/in/jessa-parette-32160736/
Frédéric R,CTO,Dashlane,https://www.linkedin.com/in/fredericrivain
Pamela Mead,Global VP of Design,SumUp,https://www.linkedin.com/in/meadpamela/
Betina Evancha,VP of Product Management,Peloton Interactive,https://www.linkedin.com/in/betina-evancha-01887737/
Marcus Andrews,Director of Product Marketing,Pendo,https://www.linkedin.com/in/marcusandrews/
Cindy Chastain,"SVP, Global Customer Experience and Design",Mastercard,https://www.linkedin.com/in/cindychastain/
John Schrag,Director of Experience Design,"John Schrag - trainer, coach & facilitator",https://www.linkedin.com/in/john-schrag-7102843/
Kendall Avery,"Lead Researcher, Rider Experience",Uber,https://www.linkedin.com/in/kendallavery/
Rima Campbell,"VP, Research Partner",UserZoom,https://www.linkedin.com/in/rima-campbell/
Tom Alterman,Director of Product Management,Asana,https://www.linkedin.com/in/tomalterman/
